Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,GPS,Elev(m),Open Date,Latitude,Longitude,lat,lon,year,month
"Buellton, CA",555 McMurray Rd,Buellton,CA,93427,USA,10,150.0,"34.61456, -120.188387",114,2013-07-13,34.61456,-120.188387,34.61456,-120.188387,2013,7
"Corning, CA",950 Hwy 99,Corning,CA,96021,USA,6,150.0,"39.926454, -122.198393",87,2013-10-18,39.926454,-122.198393,39.926454,-122.198393,2013,10
"Barstow, CA",2812 Lenwood Rd,Barstow,CA,92311,USA,16,150.0,"34.849129, -117.085446",725,2012-11-19,34.849129,-117.085446,34.849129,-117.085446,2012,11
"Tifton, GA",1310 U.S. 82,Tifton,GA,31794,USA,8,150.0,"31.448847, -83.53221",92,2014-07-10,31.448847,-83.53221,31.448847,-83.53221,2014,7
"Roseville, CA",1151 Galleria Blvd,Roseville,CA,95678,USA,7,150.0,"38.771208, -121.266149",66,2014-04-29,38.771208,-121.266149,38.771208,-121.266149,2014,4
"Oxnard, CA",2751 Park View Ct,Oxnard,CA,93036,USA,20,150.0,"34.238654, -119.177398",24,2014-09-24,34.238654,-119.177398,34.238654,-119.177398,2014,9
"Daytona Beach - Gateway North Dr, FL",2330 Gateway N Dr,Daytona Beach,FL,32117,USA,12,250.0,"29.223265, -81.09972",7,2022-11-19,29.223265,-81.09972,29.223265,-81.09972,2022,11
"Port St. Lucie, FL",1701 NW Peacock Blvd,Port St. Lucie,FL,34986,USA,16,150.0,"27.313023, -80.406688",8,2013-07-25,27.313023,-80.406688,27.313023,-80.406688,2013,7
"Dallas - Park Ln, TX",8080 Park Ln,Dallas,TX,75231,USA,16,250.0,"32.867639, -96.767245",179,2021-11-17,32.867639,-96.767245,32.867639,-96.767245,2021,11
"Dangjin, South Korea","63, Songak-ro, Songak-eup, Dangjin-si, Chungcheongnam-do",Dangjin,Chungcheongnam,,South Korea,4,120.0,"36.909503, 126.69407466",42,2019-12-20,36.909503,126.69407466,36.909503,126.69407466,2019,12
"Bj鰎kliden, Sweden",Bj鰎klidenv鋑en 70,Bj鰎kliden,Lappland,981 93,Sweden,3,250.0,"68.407105, 18.676377",471,2021-12-16,68.407105,18.676377,68.407105,18.676377,2021,12
"El Centro, CA",3451 S Dogwood Rd,El Centro,CA,92243,USA,12,150.0,"32.760837, -115.532486",-8,2014-12-28,32.760837,-115.532486,32.760837,-115.532486,2014,12
"Rosemont, IL",5220 Fashion Outlets Way,Rosemont,IL,60018,USA,10,72.0,"41.975091, -87.866501",194,2018-11-06,41.975091,-87.866501,41.975091,-87.866501,2018,11
"Indio, CA",42100 Jackson St,Indio,CA,92203,USA,46,250.0,"33.741484, -116.215019",-3,2014-09-26,33.741484,-116.215019,33.741484,-116.215019,2014,9
"Savannah, GA",400 Airways Ave,Savannah,GA,31408,USA,8,125.0,"32.135507, -81.212767",6,2014-01-15,32.135507,-81.212767,32.135507,-81.212767,2014,1
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,AZ,86025,USA,12,250.0,"34.922962, -110.145558",1596,2014-01-15,34.922962,-110.145558,34.922962,-110.145558,2014,1
"Mooresville, NC",125 Center Square Dr,Mooresville,NC,28117,USA,12,250.0,"35.587472, -80.873",260,2021-11-19,35.587472,-80.873,35.587472,-80.873,2021,11
"Shenzhen - Longhua Tesla Center, China","Longhua Auto City, No.1 Minkang Rd, Longhua District",Shenzhen,Guangdong,518131,China,10,120.0,"22.6189, 114.05482",88,2014-07-26,22.6189,114.05482,22.6189,114.05482,2014,7
